Title,Date,Signatures,Fields
"Immediately release Donald Trump's full tax returns, with all information needed to verify emoluments clause compliance.",20-Jan-17,"1,100,270",Foreign Policy and Government & Regulatory Reform
Divest or put in a blind trust all of the President's business and financial assets,20-Jan-17,"352,983",Government & Regulatory Reform
Repeal the NFA,20-Jan-17,"268,742",Foreign Policy and Government & Regulatory Reform and Gun Violence
Preserve the National Endowment for the Arts and the National Endowment for the Humanities,21-Jan-17,"221,907",Budget & Taxes and Education and Innovation: Arts & Technology
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,11-Apr-17,"211,016",Civil Rights & Equality
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,20-Jan-17,"136,180",Civil Rights & Equality and Foreign Policy and Government & Regulatory Reform
TEMPORARY PROTECTED STATUS (TPS) FOR VENEZUELA,28-Jul-17,"120,804",Foreign Policy and Homeland Security & Defense and Immigration
Do not defund the NEA or NEH,21-Jan-17,"111,951",Budget & Taxes and Education and Innovation: Arts & Technology
Let American Farmers Grow Hemp Once Again to Create Jobs and Rebuild the Rural Economy,20-Jan-17,"109,143",Economy & Jobs and Government & Regulatory Reform and Rural Policy
“EAST SEA” - Change US Policy to Recognize Both EAST SEA & Sea of Japan. Both IHO & UNCSGN Recommend Concurrent Usage.,21-Mar-17,"108,903",Education and Foreign Policy and Veterans & Military
National Reciprocity for the Nation's 17 Million Concealed Handgun Permit Holders!,18-Jul-17,"22,512",Civil Rights & Equality and Government & Regulatory Reform
The US should lead a Military Intervention to DEPOSE THE NARCO REGIME and RECUE VENEZUELA from famine and genocide.,31-Jul-17,"22,395",Foreign Policy
Publish Climate Science Report without Political Interference and Censorship,8-Aug-17,"16,958",Energy & Environment
Full Pardon for Pardon Amiri King,27-Jul-17,"16,343",Civil Rights & Equality and Criminal Justice Reform and Veterans & Military
Force Congress to Use Obamacare,19-Jul-17,"12,603",Health Care
Trump's Five Year Moratorium on Childhood Vaccines and Destruction of Pharma Control of Media,2-Aug-17,"4,544",Education and Health Care
Save the Santa Ana Wildlife Refuge,17-Jul-17,"4,451",Energy & Environment
Ban or Hide All Race Revealing Info in College Admission Process,4-Aug-17,"3,517",Civil Rights & Equality and Education
Support new Nuclear Power Generation in this country,2-Aug-17,"2,331",Economy & Jobs and Technology & Innovation and Transportation & Infrastructure
Support the Polish Government in Reforming Dysfunctional Judiciary System,22-Jul-17,"2,303",Civil Rights & Equality and Criminal Justice Reform and Foreign Policy
Remove Civil Forfeiture,19-Jul-17,"1,773",Civil Rights & Equality and Criminal Justice Reform and Government & Regulatory Reform
People of this country want to serve so why take that away? Trans rights to fight.,26-Jul-17,"1,201",Civil Rights & Equality
The Great Majority of the People of Venezuela supports a military intervention against the Nicolas Maduro Regime,14-Aug-17,"1,107",Foreign Policy and Gun Violence and Homeland Security & Defense
"Stop Deportation of a Hardworking and grieving Mother, Patricia Pena.",6-Aug-17,"1,022",Immigration
Bring Vincente Saldana home!,28-Jul-17,996,Immigration
We The People Ask President Trump To Pardon and Immediately Release All Americans That Were in Bunkerville and Malheur.,9-Aug-17,696,Civil Rights & Equality and Criminal Justice Reform and Government & Regulatory Reform
Use Antiquities Act to Designate All Civil War-Related Monuments as National Monuments,14-Aug-17,607,Education and Government & Regulatory Reform and Veterans & Military
free Quinton Bezon of the falsely accused charges against him,24-Jul-17,600,Civil Rights & Equality and Foreign Policy and Veterans & Military
"Im asking to have Obama, Soros and Hillary to be punished or deported for all the Treasonous Acts and Federal Crimes",22-Jul-17,578,Civil Rights & Equality and Homeland Security & Defense and Immigration
Forgotten Toxic Victims!,8-Aug-17,511,Civil Rights & Equality and Foreign Policy and Government & Regulatory Reform
Afghanistan Veteran and Army Reservist Plea to President Trump: Please let mom & dad come to my wedding.,20-Jul-17,475,Government & Regulatory Reform and Immigration and Veterans & Military
"Trump, help our allies in Israel by encouraging and incentivizing American Jews in Aliyah",1-Aug-17,429,Foreign Policy and Homeland Security & Defense and Immigration
Donald J. Trump should have to take a MENSA monitored IQ test,20-Jul-17,427,Education and Government & Regulatory Reform
Help bring the Elio three wheeler to market.,23-Jul-17,423,Economy & Jobs and Energy & Environment and Transportation & Infrastructure
Grant Becki Percy Political Asylum,9-Aug-17,413,Civil Rights & Equality and Government & Regulatory Reform and Immigration
#UnSealandRelease ALL of Obama's Sealed Records,20-Jul-17,377,Civil Rights & Equality and Criminal Justice Reform and Homeland Security & Defense
Call For A Five Year Childhood Vaccination Moratorium,6-Aug-17,355,Civil Rights & Equality and Education and Health Care
Impeach Judge Gloria M. Navarro,14-Aug-17,340,Criminal Justice Reform and Government & Regulatory Reform
Cancel the Russian Election Hacking Investigation,4-Aug-17,328,Civil Rights & Equality and Criminal Justice Reform
Deport Kayak Killer Angelika Graswald,26-Jul-17,294,Criminal Justice Reform and Immigration
Force Venezuela to free US citizen and political prisoner Carlos Avendaño!,30-Jul-17,262,Civil Rights & Equality and Foreign Policy and Homeland Security & Defense
Add renal cell carcinoma to list of presumptively connected diseases - Agent Orange and pesticides exposure in Vietnam.,31-Jul-17,210,Health Care and Homeland Security & Defense and Veterans & Military
Reduce the requirements for transgender individuals to change their legal gender,22-Jul-17,194,Health Care
